0.8627 <- ,  --- 10:29:54
0.7453 <- ,  --- 10:29:54
0.8745 <- ,  --- 10:29:54
0.758 <- ,  --- 10:29:54
0.8845 <- ,  --- 10:29:54
0.7687 <- ,  --- 10:29:54
0.7121 <- ,  --- 10:29:54
0.7841 <- ,  --- 10:29:54
0.9115 <- ,  --- 10:29:54
0.7988 <- ,  --- 10:29:54
0.7469 <- ,  --- 10:29:54
0.9381 <- ,  --- 10:29:54
0.7591 <- ,  --- 10:29:54
0.9481 <- ,  --- 10:29:54
0.7683 <- ,  --- 10:29:54
0.8358 <- ,  --- 10:29:54
0.9574 <- ,  --- 10:29:54
0.7818 <- ,  --- 10:29:54
0.8489 <- ,  --- 10:29:54
0.7922 <- ,  --- 10:29:54
0.9708 <- ,  --- 10:29:54
0.8596 <- ,  --- 10:29:54
0.8061 <- ,  --- 10:29:54
0.8776 <- ,  --- 10:29:54
0.8245 <- ,  --- 10:29:54
0.8956 <- ,  --- 10:29:54
1.0274 <- ,  --- 10:29:54
0.6787 <- ,  --- 10:29:54
1.0366 <- ,  --- 10:29:54
0.6884 <- ,  --- 10:29:54
0.8562 <- ,  --- 10:29:54
0.6969 <- ,  --- 10:29:54
0.7097 <- ,  --- 10:29:54
0.7188 <- ,  --- 10:29:54
0.727 <- ,  --- 10:29:54
0.7375 <- ,  --- 10:29:54
0.7476 <- ,  --- 10:29:54
0.7566 <- ,  --- 10:29:54
0.7654 <- ,  --- 10:29:54
0.7765 <- ,  --- 10:29:54
0.8011 <- ,  --- 10:29:54
0.8202 <- ,  --- 10:29:54
0.8601 <- ,  --- 10:29:54
0.5024 <- ,  --- 10:29:55
0.5103 <- ,  --- 10:29:55
0.5201 <- ,  --- 10:29:55
0.5294 <- ,  --- 10:29:55
0.5411 <- ,  --- 10:29:55
0.5558 <- ,  --- 10:29:55
0.5666 <- ,  --- 10:29:55
0.577 <- ,  --- 10:29:55
0.5859 <- ,  --- 10:29:55
0.5962 <- ,  --- 10:29:55
0.8706 <- ,  --- 10:33:50
0.7032 <- ,  --- 10:33:50
0.9001 <- ,  --- 10:33:50
0.8136 <- ,  --- 10:33:50
0.9333 <- ,  --- 10:33:50
0.9095 <- ,  --- 10:33:50
0.8294 <- ,  --- 10:33:50
0.6585 <- ,  --- 10:33:50
0.7353 <- ,  --- 10:33:50
0.9566 <- ,  --- 10:33:50
0.8303 <- ,  --- 10:33:50
0.9349 <- ,  --- 10:33:50
0.7018 <- ,  --- 10:33:50
0.7506 <- ,  --- 10:33:50
0.8529 <- ,  --- 10:33:50
0.837 <- ,  --- 10:33:50
0.9709 <- ,  --- 10:33:50
0.9467 <- ,  --- 10:33:50
0.8645 <- ,  --- 10:33:50
0.9821 <- ,  --- 10:33:50
0.7202 <- ,  --- 10:33:50
0.9581 <- ,  --- 10:33:50
0.7759 <- ,  --- 10:33:50
0.8625 <- ,  --- 10:33:50
0.9955 <- ,  --- 10:33:50
0.972 <- ,  --- 10:33:50
0.732 <- ,  --- 10:33:50
0.8743 <- ,  --- 10:33:50
0.8903 <- ,  --- 10:33:50
1.0062 <- ,  --- 10:33:50
0.9847 <- ,  --- 10:33:50
0.7602 <- ,  --- 10:33:50
1.0215 <- ,  --- 10:33:50
0.9031 <- ,  --- 10:33:50
0.9994 <- ,  --- 10:33:50
0.9014 <- ,  --- 10:33:50
1.0356 <- ,  --- 10:33:50
0.7705 <- ,  --- 10:33:50
0.9199 <- ,  --- 10:33:50
1.013 <- ,  --- 10:33:50

0.933 <- ,  --- 10:33:50
1.0498 <- ,  --- 10:33:50
0.7862 <- ,  --- 10:33:50
0.8365 <- ,  --- 10:33:50
1.0599 <- ,  --- 10:33:50
0.7967 <- ,  --- 10:33:50
0.9322 <- ,  --- 10:33:50
1.0692 <- ,  --- 10:33:50
0.9545 <- ,  --- 10:33:50
0.8061 <- ,  --- 10:33:50
1.054 <- ,  --- 10:33:50
1.0837 <- ,  --- 10:33:50
0.9666 <- ,  --- 10:33:50
0.871 <- ,  --- 10:33:50

0.8267 <- ,  --- 10:33:50
1.0675 <- ,  --- 10:33:50
1.0974 <- ,  --- 10:33:50
0.9697 <- ,  --- 10:33:50
0.8439 <- ,  --- 10:33:50
0.9786 <- ,  --- 10:33:50
1.0833 <- ,  --- 10:33:51
0.8737 <- ,  --- 10:33:51
1.017 <- ,  --- 10:33:51
1.1658 <- ,  --- 10:33:51
0.9916 <- ,  --- 10:33:51
0.6908 <- ,  --- 10:33:52
0.7067 <- ,  --- 10:33:52
0.7153 <- ,  --- 10:33:52
0.7251 <- ,  --- 10:33:52
0.7366 <- ,  --- 10:33:52
0.7489 <- ,  --- 10:33:52
0.7586 <- ,  --- 10:33:52
0.7673 <- ,  --- 10:33:52
0.7754 <- ,  --- 10:33:52
0.7831 <- ,  --- 10:33:52
0.7903 <- ,  --- 10:33:52
0.7977 <- ,  --- 10:33:52
0.8046 <- ,  --- 10:33:52
0.814 <- ,  --- 10:33:52
0.7633 <- ,  --- 10:33:52
0.8141 <- ,  --- 10:33:52
0.7785 <- ,  --- 10:33:52
0.8346 <- ,  --- 10:33:52
0.8329 <- ,  --- 10:33:52
0.7426 <- ,  --- 10:33:52
0.8058 <- ,  --- 10:33:52
0.8689 <- ,  --- 10:33:52
0.8208 <- ,  --- 10:33:52
0.7755 <- ,  --- 10:33:52
0.8657 <- ,  --- 10:33:52
0.8808 <- ,  --- 10:33:52
0.8346 <- ,  --- 10:33:52
0.7888 <- ,  --- 10:33:52
0.8505 <- ,  --- 10:33:52
0.9037 <- ,  --- 10:33:52
0.8066 <- ,  --- 10:33:52
0.8645 <- ,  --- 10:33:52
0.9095 <- ,  --- 10:33:52
0.9271 <- ,  --- 10:33:52
0.8806 <- ,  --- 10:33:52
0.8353 <- ,  --- 10:33:52
0.9397 <- ,  --- 10:33:52
0.8938 <- ,  --- 10:33:52
0.8468 <- ,  --- 10:33:52
0.9441 <- ,  --- 10:33:52
0.9091 <- ,  --- 10:33:52
0.8634 <- ,  --- 10:33:52
0.9203 <- ,  --- 10:33:52
0.9803 <- ,  --- 10:33:52
0.9357 <- ,  --- 10:33:52
0.8742 <- ,  --- 10:33:52
0.9644 <- ,  --- 10:33:52
0.9951 <- ,  --- 10:33:52
0.9462 <- ,  --- 10:33:52
0.8945 <- ,  --- 10:33:52
0.9602 <- ,  --- 10:33:52
1.007 <- ,  --- 10:33:52
0.8651 <- ,  --- 10:33:52
0.922 <- ,  --- 10:33:52
1.0276 <- ,  --- 10:33:52
0.9724 <- ,  --- 10:33:52
1.0199 <- ,  --- 10:33:52
1.0425 <- ,  --- 10:33:52
1.0377 <- ,  --- 10:33:52
0.9057 <- ,  --- 10:33:52
1.0674 <- ,  --- 10:33:52
0.937 <- ,  --- 10:33:52
0.9279 <- ,  --- 10:33:52
0.9699 <- ,  --- 10:33:52
0.9875 <- ,  --- 10:33:52
1.0053 <- ,  --- 10:33:52
1.0238 <- ,  --- 10:33:52
1.0357 <- ,  --- 10:33:52
1.0623 <- ,  --- 10:33:52
1.0738 <- ,  --- 10:33:52
1.0839 <- ,  --- 10:33:52
1.1209 <- ,  --- 10:33:52
1.1494 <- ,  --- 10:33:52
0.5032 <- ,  --- 10:33:53
0.5133 <- ,  --- 10:33:53
0.5237 <- ,  --- 10:33:53
0.5327 <- ,  --- 10:33:53
0.5032 <- ,  --- 10:33:53
0.5121 <- ,  --- 10:33:53
0.5117 <- ,  --- 10:33:53
0.5247 <- ,  --- 10:33:53
0.523 <- ,  --- 10:33:53
0.5333 <- ,  --- 10:33:53
0.5321 <- ,  --- 10:33:53
0.5443 <- ,  --- 10:33:53
0.541 <- ,  --- 10:33:53
0.5042 <- ,  --- 10:33:53
0.5517 <- ,  --- 10:33:53
0.5476 <- ,  --- 10:33:53
0.5596 <- ,  --- 10:33:53
